le_parrain_2e_partie|Francis Ford Coppola|Gangster, drame|1975-08-27|3 h 20 min|8.3|37956|145|38K|2.6K|8.6K|En 1901, en Sicile, le tout jeune Vito Andolini voit son père, son frère et sa mère assassinés par un parrain local. Il s'enfuit vers les États-Unis, où les services de l'immigration le rebaptisent Vito Corleone... Cinquante ans plus tard, aux États-Unis, son fils Michael dirige d'une main de fer...
pulp_fiction|Quentin Tarantino|Gangster, comédie|1994-10-26|2 h 34 min|8.3|219778|631|220K|12K|27K|L'odyssée sanglante, burlesque et cocasse de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.
apocalypse_now|Francis Ford Coppola|Drame, guerre|1979-09-26|2 h 27 min|8.3|52212|351|52K|4.6K|19K|Durant la guerre du Viêt-nam, le capitaine Willard est contraint de mener une mission périlleuse au Cambodge. Accompagné de quatre soldats, il doit mettre fin au commandement du colonel Kurtz, qui utilise des méthodes jugées trop barbares.
Le_Dictateur|Charlie Chaplin|Comédie dramatique, guerre|1945-04-04|2 h 05 min|8.3|34250|174|34K|2.3K|7.2K|Dans un ghetto juif vit un petit barbier juif qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l'extermination du peuple juif. Au cours d'une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d'Hynkel.
voyage_au_bout_de_l_enfer|Michael Cimino|Drame, guerre|1979-03-07|3 h 03 min|8.3|22749|224|23K|2.3K|13K|Une analyse en profondeur de la façon dont la guerre du Vietnam touche et bouleverse la vie des habitants d'une petite ville industrielle de Pennsylvanie.
psychose|Alfred Hitchcock|Thriller|1960-11-02|1 h 49 min|8.3|48427|318|48K|3.5K|11K|Phoenix, Arizona. Marion Crane, une employée modèle, vole 40 000 dollars à son patron pour permettre à son amant, Sam Loomis, d'éponger ses dettes. Elle s'enfuit en voiture dans l'intention de le rejoindre chez lui en Californie. Sur la route, une forte pluie l'oblige à s'arrêter. Elle descend...
La_Femme_des_sables|Hiroshi Teshigahara|Drame|1964-11-11|2 h 27 min|8.3|1867|37|1.9K|367|4.1K|Un homme marchant dans le désert fais une halte pour se reposer. Des villageois lui proposent de dormir dans leur village mais le font prisonnier.
soy_cuba|Mikhail Kalatozov|Drame, historique, guerre|1964-10-26|2 h 23 min|8.3|2488|50|2.5K|426|5.3K|À travers quatre histoires qui renforcent l'idéal communiste face à la mainmise du capitalisme, « Soy Cuba » dépeint la lente évolution de Cuba du régime de Batista jusqu'à la révolution castriste.
requiem_pour_un_massacre|Elem Klimov|Drame, guerre|1987-09-16|2 h 22 min|8.2|6608|165|6.6K|980|11K|Pendant la Seconde Guerre mondiale, dans un village de Biélorussie occupé, Fliora s'engage, bien que trop jeune, chez les partisans.
les_affranchis|Martin Scorsese|Gangster, biopic|1990-09-12|2 h 26 min|8.2|49989|250|50K|4.1K|12K|A Brooklyn, dans les années 1950, Henry Hill, né d’un père irlandais et d’une mère sicilienne, a toujours voulu devenir gangster. Il commet à 16 ans ses premiers délits. Arrêté, le gamin des rues gagne le respect du parrain Paul Cicero en refusant de livrer ses complices, la règle d’or des...
