dune|Denis Villeneuve|Science-fiction, drame|2021-09-15|2 h 35 min|7.5|32021|594|32K|2.4K|11K|L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers – la seule à même de fournir la...
the_suicide_squad|James Gunn|Action, aventure, comédie|2021-07-28|2 h 12 min|6.4|10350|225|10K|489|2.5K|Bienvenue à Belle Reve, la prison dotée du taux de mortalité le plus élevé des États-Unis d'Amérique. Là où sont détenus les pires super-vilains, qui feront tout pour en sortir - y compris rejoindre la super secrète et la super louche Task Force X. La mission mortelle du jour ? Assembler une belle...
Zack_Snyder_s_Justice_League|Zack Snyder|Action, aventure, fantastique|2021-03-18|4 h 02 min|6.6|9953|235|10K|585|2K|Déterminé à s'assurer que le sacrifice ultime de Superman n'a pas été en vain, Bruce Wayne fait équipe avec Diana Prince avec l'idée de recruter une équipe de méta-humains pour protéger le monde d'une menace aux proportions catastrophiques. La tâche s'avère plus difficile que Bruce n'avait pu...
mourir_peut_attendre|Cary Joji Fukunaga|Action, aventure, thriller|2021-10-06|2 h 43 min|6.3|16156|349|16K|390|8.2K|James Bond a quitté les services secrets et coule des jours heureux en Jamaïque. Mais sa tranquillité est de courte durée car son vieil ami Felix Leiter de la CIA débarque pour solliciter son aide : il s'agit de sauver un scientifique qui vient d'être kidnappé. Mais la mission se révèle bien plus...
sound_of_metal|Darius Marder|Drame, musique|2021-06-16|2 h|7.4|5931|83|5.9K|531|5.9K|Ruben et Lou, ensemble à la ville comme à la scène, sillonnent les Etats-Unis entre deux concerts. Un soir, Ruben est gêné par des acouphènes, et un médecin lui annonce qu'il sera bientôt sourd. Désemparé, et face à ses vieux démons, Ruben va devoir prendre une décision qui changera sa vie à jamais.
benedetta|Paul Verhoeven|Biopic, drame, historique|2021-07-09|2 h 06 min|6.4|7573|175|7.6K|317|7.3K|Au 17ème siècle, alors que la peste se propage en Italie, la très jeune Benedetta Carlini rejoint le couvent de Pescia en Toscane. Dès son plus jeune âge, Benedetta est capable de faire des miracles et sa présence au sein de sa nouvelle communauté va changer bien des choses dans la vie des soeurs.
kaamelott_premier_volet|Alexandre Astier|Aventure, comédie, fantastique|2021-07-21|2 h|6.3|16836|382|17K|659|12K|484. Dix ans après avoir pris le pouvoir, Lancelot organise une chasse aux sorcières - aidés par des mercenaires saxons - pour retrouver Arthur et ses chevaliers, aujourd’hui divisés et dispersés…
Malcolm_Marie|Sam Levinson|Drame, romance|2021-02-05|1 h 46 min|6.8|7251|138|7.3K|432|4.1K|Après la projection en avant-première de son dernier film, un cinéaste rentre chez lui avec sa petite amie. Alors qu'il est certain que son film rencontrera un succès critique et commercial, la soirée prend une tournure inattendue : les deux amoureux doivent affronter certaines vérités sur leur...
promising_young_woman|Emerald Fennell|Comédie, drame, policier|2021-05-26|1 h 53 min|6.7|6952|144|7K|464|4K|Tout le monde s’entendait pour dire que Cassie était une jeune femme pleine d’avenir…jusqu’à ce qu’un évènement inattendu ne vienne tout bouleverser. Mais rien dans la vie de Cassie n’est en fait conforme aux apparences : elle est aussi intelligente que rusée, séduisante que calculatrice et mène...
la_loi_de_teheran|Saeed Roustayi|Policier, drame, action|2021-07-28|2 h 11 min|7.4|3523|75|3.5K|243|3.7K|En Iran, la sanction pour possession de drogue est la même que l’on ait 30 g ou 50 kg sur soi : la peine de mort. Dans ces conditions, les narcotrafiquants n’ont aucun scrupule à jouer gros et la vente de crack a explosé. Bilan : 6,5 millions de personnes ont plongé. Au terme d'une traque de...
matrix_resurrections|Lana Wachowski|Action, science-fiction|2021-12-22|2 h 28 min|5.8|11170|341|11K|472|4.9K|Dix-huit ans après les événements de Matrix Revolutions, Thomas A. Anderson (alias Neo) ne se souvient plus de rien et mène une vie d'apparence normale à San Francisco. Il se rend régulièrement chez un psychiatre à qui il raconte ses rêves étranges et qui lui prescrit des pilules bleues. Après la...
spider_man_no_way_home|Jon Watts|Action, aventure, fantastique|2021-12-15|2 h 28 min|6.2|16455|347|16K|679|2.7K|Pour la première fois dans son histoire cinématographique, Spider-Man, le héros sympa du quartier est démasqué et ne peut désormais plus séparer sa vie normale de ses lourdes responsabilités de super-héros. Quand il demande de l'aide à Doctor Strange, les enjeux deviennent encore plus dangereux,...
a_l_abordage|Guillaume Brac|Comédie|2021-05-28|1 h 36 min|7.4|2687|47|2.7K|314|1.4K|Paris, un soir au mois d'août. Un garçon rencontre une fille. Ils ont le même âge, mais n'appartiennent pas au même monde. Félix travaille, Alma part en vacances le lendemain. Qu'à cela ne tienne. Félix décide de rejoindre Alma à l'autre bout de la France. Par surprise. Il embarque son ami Chérif,...
mandibules|Quentin Dupieux (Mr. Oizo)|Comédie, fantastique|2021-05-19|1 h 17 min|6.2|12855|205|13K|370|4.4K|Jean-Gab et Manu, deux amis simples d’esprit, trouvent une mouche géante coincée dans le coffre d’une voiture et se mettent en tête de la dresser pour gagner de l’argent avec.
Le_Peuple_Loup|Ross Stewart|Fantastique, aventure|2021-10-20|1 h 40 min|7.9|2998|48|3K|512|4.9K|En Irlande, au temps des superstitions et de la magie, Robyn, une jeune fille de 11 ans, aide son père à chasser la dernière meute de loups. Mais un jour, lors d’une battue en forêt, Robyn rencontre Mebh, petite fille le jour, louve la nuit. Désormais pour Robyn, ayant rejoint elle aussi le peuple...
bo_burnham_inside|Bo Burnham|Comédie, drame, comédie musicale|2021-05-30|1 h 27 min|8.0|2724|34|2.7K|441|1.4K|À travers de nouvelles chansons et perspectives, Bo Burnham revient sur une année bien étrange dans ce spectacle original écrit, filmé et interprété en plein confinement.
luca|Enrico Casarosa|Animation, aventure, comédie|2021-06-18|1 h 41 min|6.8|9928|120|9.9K|410|1.8K|Dans une très jolie petite ville côtière de la Riviera italienne, un jeune garçon, Luca, vit un été inoubliable, ponctué de délicieux gelato, de savoureuses pasta et de longues balades en scooter. Il partage ses aventures avec son nouveau meilleur ami, mais ce bonheur est menacé par un secret bien...
