mort_sur_le_nil|Kenneth Branagh|Policier, drame|2022-02-09|2 h 14 min|5.5|3263|100|3.3K|41|3K|Au cours d’une luxueuse croisière sur le Nil, ce qui devait être une lune de miel idyllique se conclut par la mort brutale de la jeune mariée. Ce crime sonne la fin des vacances pour le détective Hercule Poirot. A bord en tant que passager, il se voit confier l’enquête par le capitaine du bateau....
en_attendant_bojangles|Régis Roinsard|Drame|2022-01-05|2 h 04 min|6.7|3018|70|3K|136|2.1K|Camille et Georges dansent tout le temps sur leur chanson préférée Mr Bojangles. Chez eux, il n'y a de place que pour le plaisir, la fantaisie et les amis. Jusqu'au jour où la mère va trop loin, contraignant Georges et leur fils Gary à tout faire pour éviter l'inéluctable coûte que coûte.
after_blue_paradis_sale|Bertrand Mandico|Science-fiction|2022-02-16|2 h 07 min|6.0|1204|35|1.2K|98|1.9K|Dans un futur lointain, sur une planète sauvage, Roxy, une adolescente solitaire, délivre une criminelle ensevelie sous les sables. A peine libérée, cette dernière sème la mort. Tenues pour responsables, Roxy et sa mère Zora sont bannies de leur communauté et condamnées à traquer la meurtrière....
belfast|Kenneth Branagh|Drame|2022-03-02|1 h 38 min|6.4|1683|56|1.7K|61|1.8K|Été 1969 : Buddy, 9 ans, sait parfaitement qui il est et à quel monde il appartient, celui de la classe ouvrière des quartiers nord de Belfast où il vit heureux, choyé et en sécurité. Mais vers la fin des années 60, alors que le premier homme pose le pied sur la Lune et que la chaleur du mois...
enquete_sur_un_scandale_d_etat|Thierry de Peretti|Drame, thriller|2022-02-09|2 h 03 min|6.3|1537|37|1.5K|48|1K|Octobre 2015. Les douanes françaises saisissent sept tonnes de cannabis en plein cœur de la capitale. Le jour même, un ancien infiltré des stups, Hubert Antoine, contacte Stéphane Vilner, jeune journaliste à Libération. Il prétend pouvoir démontrer l’existence d’un trafic d’État dirigé par Jacques...
macbeth|Joel Coen|Drame, historique, thriller|2022-01-14|1 h 45 min|6.1|847|19|847|44|2.1K|Un seigneur écossais est convaincu par un trio de sorcières qu'il deviendra le prochain roi d'Écosse, et sa femme ambitieuse le soutient dans ses plans de prise du pouvoir.
massacre_a_la_tronconneuse|David Blue Garcia|Épouvante-Horreur|2022-02-18|1 h 21 min|4.3|2204|91|2.2K|31|252|Melody, sa sœur Lila et leurs amis Dante et Ruth se rendent dans la petite ville de Harlow, au Texas, pour lancer une nouvelle entreprise. Mais leur rêve se transforme bientôt en cauchemar éveillé lorsqu'ils pénètrent sans le vouloir dans le monde de Leatherface, le dangereux tueur en série dont...
la_vraie_famille|Fabien Gorgeart|Drame|2022-02-16|1 h 42 min|7.4|1005|29|1K|84|1.2K|Anna, 34 ans, vit avec son mari, ses deux petits garçons et Simon, un enfant placé chez eux par l’Assistance Sociale depuis l’âge de 18 mois, et qui a désormais 6 ans. Un jour, le père biologique de Simon exprime le désir de récupérer la garde de son fils. C’est un déchirement pour Anna, qui ne...
la_maison|Niki Lindroth von Bahr|Animation, comédie, drame|2022-01-14|1 h 37 min|6.8|1173|12|1.2K|62|830|Dans cette comédie noire animée, une mystérieuse maison unit une famille pauvre, un développeur anxieux et une propriétaire exaspérée à travers des époques différentes.Cette anthologie de comédie noire extravagante est réalisée par les plus grands talents indépendants de l'animation en...
goliath|Frédéric Tellier|Drame, thriller|2022-03-09|2 h 02 min|6.7|1590|41|1.6K|51|1.7K|France, professeure de sport le jour, ouvrière la nuit et militante ; Patrick, obscur et solitaire avocat parisien spécialisé en droit environnemental ; et Mathias, lobbyiste et homme pressé, vont voir leurs destins bouleversés et entremêlés par l’acte terrible d’une agricultrice désespérée.
harry_potter_retour_a_poudlard|Giorgio Testi|Cinéma|2022-01-01|1 h 30 min|6.4|2755|20|2.8K|116|945|Plusieurs acteurs, réalisateurs et membres de l'équipe de la saga Harry Potter reviennent le temps d'un documentaire pour célébrer le vingtième anniversaire de la sortie du premier film...
mes_freres_et_moi|Yohan Manca|Drame|2022-01-05|1 h 48 min|7.5|1099|30|1.1K|109|1.7K|Nour a 14 ans. Il vit dans un quartier populaire au bord de la mer. Il s'apprête à passer un été rythmé par les mésaventures de ses grands frères, la maladie de sa mère et des travaux d'intérêt général. Alors qu’il doit repeindre un couloir de son collège, il rencontre Sarah, une chanteuse lyrique...
les_promesses|Thomas Kruithof|Drame|2022-01-26|1 h 38 min|6.6|1471|36|1.5K|46|907|Maire d’une ville du 93, Clémence livre avec Yazid, son directeur de cabinet, une bataille acharnée pour sauver le quartier des Bernardins, une cité minée par l’insalubrité et les "marchands de sommeil". Ce sera son dernier combat, avant de passer la main à la prochaine élection. Mais quand...
zai_zai_zai_zai|François Desagnat|Comédie|2022-02-23|1 h 23 min|6.1|1188|33|1.2K|47|1.8K|Fabrice, acteur de comédie, réalise qu’il n’a pas sa carte de fidélité alors qu’il fait ses courses. Malgré la menace d’un vigile, il parvient à s’enfuir. Commence alors une cavale sans merci, pour celui qui devient rapidement l’ennemi public numéro 1. Alors que les médias s’emparent de l’affaire...
super_heros_malgre_lui|Philippe Lacheau|Action, comédie|2022-02-02|1 h 22 min|5.2|1187|57|1.2K|35|461|Apprenti comédien en galère, Cédric décroche enfin son premier rôle dans un film de super-héros. Un soir, alors qu'il emprunte la voiture de tournage, il est victime d'un accident qui lui fait perdre la mémoire. A son réveil, vêtu de son costume de justicier et au milieu des accessoires du film,...
